"","Rank","Team","GP","W","L","D","GF","GA","GD","Points","Manager"
"1",1,"Manchester City",28,22,3,3,68,18,50,69,"Casey"
"2",2,"Liverpool",28,20,2,6,73,20,53,66,"Jason"
"3",3,"Chelsea",27,16,3,8,56,19,37,56,"CB"
"4",4,"Manchester United",29,14,7,8,48,40,8,50,"Neo ⭐"
"5",5,"Arsenal",25,15,7,3,41,29,12,48,"Neo ⭐"
"6",6,"West Ham United",28,13,9,6,46,35,11,45,"Megan ⭐"
"7",7,"Tottenham Hotspur",27,14,10,3,42,35,7,45,"Jason"
"8",8,"Wolverhampton Wanderers",28,13,11,4,28,23,5,43,"Jason"
"9",9,"Aston Villa",27,11,13,3,40,37,3,36,"CB"
"10",10,"Southampton",28,8,9,11,35,43,-8,35,"Neo ⭐"
"11",11,"Crystal Palace",28,7,9,12,39,38,1,33,"Megan ⭐"
"12",12,"Leicester City",25,9,10,6,40,43,-3,33,"Megan ⭐"
"13",13,"Brighton and Hove Albion",28,7,9,12,26,34,-8,33,"CB"
"14",14,"Newcastle United",27,7,10,10,32,47,-15,31,"Neo ⭐"
"15",15,"Brentford",29,8,15,6,32,45,-13,30,"Jason"
"16",16,"Leeds United",28,5,15,8,29,64,-35,23,"Casey"
"17",17,"Everton",25,6,15,4,28,46,-18,22,"Casey"
"18",18,"Burnley",27,3,12,12,22,38,-16,21,"Megan ⭐"
"19",19,"Watford",28,5,19,4,27,54,-27,19,"Casey"
"20",20,"Norwich City",28,4,19,5,17,61,-44,17,"CB"
